,Category,Description,Data.Cholesterol,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin C,Data.Fiber,Data.Major Minerals.Calcium,Data.Protein,Data.Fat.Monosaturated Fat,Data.Major Minerals.Sodium,Data.Major Minerals.Iron,Data.Sugar Total
647,Meat sticks,"Meat sticks, baby food, NS as to type of meat",70,21,2.4,0.2,34,13.4,6.48,267,1.38,0.8
648,Ground meat,"Ground meat, NFS",87,3,0.0,0.0,24,25.54,7.497,396,2.47,0.0
649,Beef,"Beef, NS as to cut, cooked, NS as to fat eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
650,Beef,"Beef, NS as to cut, cooked, lean and fat eaten",87,3,0.0,0.0,17,27.06,6.005,382,2.26,0.0
651,Beef,"Beef, NS as to cut, cooked, lean only eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
652,Steak,"Steak, NS as to type of meat, cooked, NS as to fat eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
653,Steak,"Steak, NS as to type of meat, cooked, lean and fat eaten",87,3,0.0,0.0,17,27.06,6.005,380,2.26,0.0
654,Steak,"Steak, NS as to type of meat, cooked, lean only eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
655,Beef,"Beef, pickled",98,0,0.0,0.0,8,18.17,9.22,973,1.86,0.0
656,Beef,"Beef, NS as to cut, fried, NS to fat eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
657,Beef steak,"Beef steak, NS as to cooking method, NS as to fat eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
658,Beef steak,"Beef steak, NS as to cooking method, lean and fat eaten",87,3,0.0,0.0,17,27.06,6.005,382,2.26,0.0
659,Beef steak,"Beef steak, NS as to cooking method, lean only eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
660,Beef steak,"Beef steak, broiled or baked, NS as to fat eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
661,Beef steak,"Beef steak, broiled or baked, lean and fat eaten",87,3,0.0,0.0,17,27.06,6.005,382,2.26,0.0
662,Beef steak,"Beef steak, broiled or baked, lean only eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
663,Beef steak,"Beef steak, fried, NS as to fat eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
664,Beef steak,"Beef steak, fried, lean and fat eaten",87,3,0.0,0.0,17,27.06,6.005,382,2.26,0.0
665,Beef steak,"Beef steak, fried, lean only eaten",81,1,0.0,0.0,16,29.23,2.926,387,2.38,0.0
666,Beef steak,"Beef steak, breaded or floured, baked or fried, NS as to fat eaten",59,5,0.0,0.7,52,25.02,4.749,446,2.52,1.28
667,Beef steak,"Beef steak, breaded or floured, baked or fried, lean and fat eaten",60,6,0.0,0.7,52,24.39,5.956,446,2.51,1.28
